"('ReadingDate', <class 'int'>, None, 19, 19, 0, True)","('Easting', <class 'int'>, None, 19, 19, 0, True)","('Northing', <class 'int'>, None, 19, 19, 0, True)","('Intensity(mm/hr)', <class 'decimal.Decimal'>, None, 4, 4, 2, True)","('Depth(mm)', <class 'decimal.Decimal'>, None, 6, 6, 2, True)","('Year', <class 'str'>, None, 1024, 1024, 0, True)","('Month', <class 'str'>, None, 1024, 1024, 0, True)","('Day', <class 'str'>, None, 1024, 1024, 0, True)"
202401022110,316500,121500,0.04,0.44,2024,01,02
202401022040,316500,121500,0.01,0.09,2024,01,02
202401022035,316500,121500,0.28,3.31,2024,01,02
202401022030,316500,121500,0.04,0.50,2024,01,02
202401021935,316500,121500,0.01,0.06,2024,01,02
202401021930,316500,121500,0.02,0.19,2024,01,02
202401021925,316500,121500,0.03,0.38,2024,01,02
202401021920,316500,121500,0.03,0.31,2024,01,02
202401021915,316500,121500,0.01,0.09,2024,01,02
202401021910,316500,121500,0.14,1.69,2024,01,02
202401021900,316500,121500,0.04,0.50,2024,01,02
202401021540,316500,121500,0.01,0.09,2024,01,02
202401021535,316500,121500,0.14,1.66,2024,01,02
202401021530,316500,121500,0.02,0.28,2024,01,02
202401021525,316500,121500,0.08,0.91,2024,01,02
202401021520,316500,121500,0.03,0.34,2024,01,02
202401021515,316500,121500,0.01,0.09,2024,01,02
202401021455,316500,121500,0.01,0.06,2024,01,02
202401021445,316500,121500,0.01,0.06,2024,01,02
202401021435,316500,121500,0.01,0.13,2024,01,02
202401021430,316500,121500,0.01,0.16,2024,01,02
202401021425,316500,121500,0.02,0.28,2024,01,02
202401021355,316500,121500,0.01,0.13,2024,01,02
202401021330,316500,121500,0.01,0.06,2024,01,02
202401021300,316500,121500,0.02,0.22,2024,01,02
202401021255,316500,121500,0.02,0.19,2024,01,02
202401021250,316500,121500,0.05,0.63,2024,01,02
202401021245,316500,121500,0.04,0.47,2024,01,02
202401021240,316500,121500,0.05,0.59,2024,01,02
202401021235,316500,121500,0.02,0.22,2024,01,02
202401021230,316500,121500,0.01,0.09,2024,01,02
202401021225,316500,121500,0.01,0.09,2024,01,02
202401021215,316500,121500,0.00,0.03,2024,01,02
202401021140,316500,121500,0.00,0.03,2024,01,02
202401021130,316500,121500,0.01,0.06,2024,01,02
202401021125,316500,121500,0.01,0.06,2024,01,02
202401021120,316500,121500,0.04,0.50,2024,01,02
202401021115,316500,121500,0.02,0.25,2024,01,02
202401021105,316500,121500,0.01,0.06,2024,01,02
202401021100,316500,121500,0.01,0.06,2024,01,02
202401021035,316500,121500,0.02,0.25,2024,01,02
202401021030,316500,121500,0.03,0.31,2024,01,02
202401021025,316500,121500,0.02,0.25,2024,01,02
202401021020,316500,121500,0.00,0.03,2024,01,02
202401021015,316500,121500,0.01,0.06,2024,01,02
202401021010,316500,121500,0.01,0.06,2024,01,02
202401021005,316500,121500,0.01,0.09,2024,01,02
202401021000,316500,121500,0.01,0.16,2024,01,02
202401020955,316500,121500,0.07,0.84,2024,01,02
202401020950,316500,121500,0.12,1.41,2024,01,02
202401020945,316500,121500,0.05,0.56,2024,01,02
202401020940,316500,121500,0.12,1.47,2024,01,02
202401020935,316500,121500,0.10,1.16,2024,01,02
202401020930,316500,121500,0.03,0.41,2024,01,02
202401020925,316500,121500,0.03,0.41,2024,01,02
