Threshold,Number of Days
10 mm,257
12 mm,188
14 mm,153
16 mm,116
18 mm,82
20 mm,65
22 mm,50
24 mm,38
26 mm,29
28 mm,19
30 mm,14
32 mm,11
34 mm,8
36 mm,8
38 mm,6
40 mm,4
Month,Year,Monthly Depth (mm)
2,2013,37.2
3,2013,88.5
4,2013,48.7
5,2013,49.2
6,2013,33.6
7,2013,28.7
8,2013,19
9,2013,43.9
10,2013,144.8
11,2013,62.2
12,2013,199.4
1,2014,238.8
2,2014,151.3
3,2014,46.6
4,2014,95.6
5,2014,117.9
6,2014,32.8
7,2014,21.6
8,2014,91.4
9,2014,16
10,2014,137.9
11,2014,179.3
12,2014,45.2
1,2015,114.1
2,2015,54.9
3,2015,24.3
4,2015,23.4
5,2015,71.7
6,2015,30.8
7,2015,52.2
8,2015,129.3
9,2015,79.4
10,2015,53.7
