M:\Dors\015 Christchurch\StormPac\Outputs\Christchurch.csv
SRG Generated Data, Duration 10 years

StartTime,EndTime,Depth (mm),MeanIntensity (mm/hr),MaxIntensity (mm/hr),Duration (hours),UCWI (mm),API30 (mm), AntecDryPeriod (hours)
02/05/2102 02:00:00,04/05/2102 11:00:00,20.1,0.3,6.4,58,79,0,47
06/05/2102 21:00:00,10/05/2102 17:00:00,8,0.1,2.1,93,102,0.9,57
12/05/2102 20:00:00,12/05/2102 20:00:00,0.1,0.1,0.1,1,84,0.1,50
21/05/2102 20:00:00,22/05/2102 12:00:00,7.2,0.4,4,17,63,0,215
24/05/2102 09:00:00,24/05/2102 13:00:00,1.3,0.3,0.8,5,78,1.5,44
30/05/2102 07:00:00,01/06/2102 22:00:00,11.4,0.2,5.2,64,54,0,137
05/06/2102,05/06/2102,0.3,0.3,0.3,1,60,0.7,73
09/06/2102 19:00:00,10/06/2102 03:00:00,5.5,0.6,1.5,9,50,0,114
22/06/2102 03:00:00,22/06/2102 20:00:00,1.8,0.1,1,18,50,0,287
30/06/2102 05:00:00,30/06/2102 22:00:00,42.5,2.4,18.7,18,50,0,176
02/07/2102 18:00:00,03/07/2102 01:00:00,1.5,0.2,1,8,129,13.8,43
09/07/2102 05:00:00,12/07/2102 18:00:00,48.1,0.6,23.4,86,51,0.2,147
20/07/2102,21/07/2102 12:00:00,7,0.2,2.3,37,50,0.1,173
23/07/2102 10:00:00,24/07/2102 03:00:00,1.7,0.1,0.7,18,50,0.1,45
25/07/2102 23:00:00,28/07/2102 04:00:00,10.1,0.2,3.9,54,50,0,43
31/07/2102 20:00:00,01/08/2102 17:00:00,14.3,0.6,6,22,50,0.2,87
05/08/2102 12:00:00,05/08/2102 18:00:00,6,0.9,1.7,7,50,0.7,90
09/08/2102 07:00:00,10/08/2102 01:00:00,1.9,0.1,1.6,19,50,0.6,84
16/08/2102 16:00:00,17/08/2102 21:00:00,2.7,0.1,1.1,30,50,0,158
25/08/2102 03:00:00,28/08/2102 01:00:00,24.3,0.3,6.1,71,50,0,173
30/08/2102 19:00:00,31/08/2102 19:00:00,6.2,0.2,2.4,25,50,0.9,65
03/09/2102 16:00:00,03/09/2102 22:00:00,3.5,0.5,3.4,7,50,0.3,68
06/09/2102 02:00:00,06/09/2102 18:00:00,7.4,0.4,2.4,17,50,0.2,51
09/09/2102 13:00:00,10/09/2102 17:00:00,3.9,0.1,1.2,29,50,0.2,66
13/09/2102 23:00:00,14/09/2102 12:00:00,13.6,1,5.1,14,50,0.1,77
21/09/2102 05:00:00,22/09/2102 01:00:00,11.1,0.5,3.2,21,50,0.1,160
28/09/2102 05:00:00,04/10/2102 07:00:00,12.4,0.1,4.7,147,50,0.2,147
10/10/2102 05:00:00,12/10/2102 21:00:00,6,0.1,1.8,65,50,0,141
14/10/2102 11:00:00,18/10/2102 15:00:00,23.6,0.2,6.1,101,50,0.2,37
22/10/2102 23:00:00,29/10/2102 08:00:00,59.9,0.4,9.6,154,54,0.3,103
31/10/2102 16:00:00,07/11/2102 01:00:00,41.7,0.3,3.3,154,121,1.9,55
09/11/2102 13:00:00,09/11/2102 15:00:00,2.4,0.8,1.7,3,136,1.1,59
11/11/2102 19:00:00,14/11/2102 14:00:00,14.6,0.2,2.7,68,131,0.8,51
18/11/2102 19:00:00,19/11/2102 20:00:00,4.3,0.2,1,26,127,0.2,100
26/11/2102 12:00:00,30/11/2102 18:00:00,44.7,0.4,4.7,103,130,0,159
02/12/2102 13:00:00,04/12/2102 05:00:00,2.1,0.1,0.9,41,174,5.4,42
06/12/2102 15:00:00,08/12/2102 01:00:00,11.8,0.3,2.5,35,127,0.4,57
10/12/2102,18/12/2102 20:00:00,69.1,0.3,4.7,213,139,1.8,46
29/12/2102 13:00:00,02/01/2103 15:00:00,73.5,0.7,9.1,99,128,0,256
05/01/2103 17:00:00,06/01/2103 16:00:00,1.6,0.1,0.3,24,128,1.3,73
11/01/2103 09:00:00,13/01/2103 18:00:00,6.6,0.1,1.5,58,126,0.1,112
18/01/2103 19:00:00,20/01/2103 05:00:00,13.4,0.4,3.4,35,131,0.1,120
21/01/2103 21:00:00,24/01/2103 10:00:00,15.2,0.2,2.9,62,143,2.2,39
26/01/2103 22:00:00,05/02/2103 19:00:00,136.1,0.6,5.3,238,134,1,59
13/02/2103 10:00:00,15/02/2103 15:00:00,12.1,0.2,2.7,54,126,0.1,182
20/02/2103 18:00:00,21/02/2103 17:00:00,8.1,0.3,3.5,24,125,0.1,122
23/02/2103 09:00:00,26/02/2103 04:00:00,23.5,0.3,4.2,68,141,3,39
28/02/2103 10:00:00,02/03/2103 07:00:00,14.2,0.3,2.7,46,154,1.6,53
10/03/2103,10/03/2103 08:00:00,3.8,0.4,1.5,9,125,0.1,184
11/03/2103 23:00:00,14/03/2103 14:00:00,13.4,0.2,4.2,64,130,1,38
26/03/2103 01:00:00,31/03/2103 15:00:00,37.4,0.3,6.1,135,115,0,274
02/04/2103 05:00:00,06/04/2103 09:00:00,38.8,0.4,3.9,101,141,2.1,37
08/04/2103 15:00:00,12/04/2103 08:00:00,29.4,0.3,1.9,90,134,1.6,53
14/04/2103 08:00:00,14/04/2103 08:00:00,0.1,0.1,0.1,1,134,2.2,47
17/04/2103 10:00:00,18/04/2103 06:00:00,2.9,0.1,1,21,119,0.1,73
20/04/2103 11:00:00,24/04/2103 14:00:00,14.3,0.1,2.7,100,128,0.3,52
26/04/2103 13:00:00,27/04/2103 23:00:00,2.5,0.1,1.2,35,124,0.5,46
29/04/2103 19:00:00,30/04/2103 13:00:00,2.2,0.1,0.4,19,121,0.3,43
12/05/2103 23:00:00,17/05/2103 12:00:00,26,0.2,5.7,110,95,0,297
02/06/2103 08:00:00,03/06/2103 18:00:00,21.4,0.6,9.3,35,80,0,379
07/06/2103 03:00:00,07/06/2103 03:00:00,1.9,1.9,1.9,1,98,1,80
09/06/2103 21:00:00,10/06/2103 13:00:00,4.7,0.3,3.1,17,77,0.1,65
13/06/2103 11:00:00,14/06/2103 07:00:00,6,0.3,4.2,21,79,0.1,69
16/06/2103 16:00:00,18/06/2103 01:00:00,6.3,0.2,2.2,34,91,0.5,56
20/06/2103 03:00:00,23/06/2103 23:00:00,41.7,0.4,10,93,112,0.2,49
28/06/2103 06:00:00,28/06/2103 08:00:00,1.6,0.5,1.2,3,85,0.5,102
01/07/2103 06:00:00,03/07/2103 07:00:00,2.3,0,1.2,50,77,0.1,69
06/07/2103 10:00:00,07/07/2103 05:00:00,1.8,0.1,0.9,20,66,0,74
08/07/2103 19:00:00,09/07/2103 12:00:00,1,0.1,0.4,18,67,0,37
15/07/2103 15:00:00,22/07/2103 03:00:00,56.7,0.4,6.3,157,54,0,146
25/07/2103 01:00:00,30/07/2103 03:00:00,54.6,0.4,8.3,123,81,0.6,69
31/07/2103 21:00:00,03/08/2103 23:00:00,2.7,0,0.6,75,142,4.9,41
11/08/2103 14:00:00,13/08/2103 04:00:00,9.8,0.3,2.2,39,80,0,182
18/08/2103 08:00:00,19/08/2103 02:00:00,1.6,0.1,1.5,19,78,0.1,123
23/08/2103 23:00:00,24/08/2103 01:00:00,13.8,4.6,8.7,3,92,0,116
30/08/2103 19:00:00,31/08/2103 16:00:00,5,0.2,2.8,22,68,0.1,161
04/09/2103 03:00:00,04/09/2103 14:00:00,9,0.7,6.6,12,69,0.1,82
08/09/2103 10:00:00,08/09/2103 12:00:00,6.5,2.2,3.2,3,70,0.2,91
10/09/2103 18:00:00,18/09/2103 02:00:00,61.5,0.3,6.4,177,84,1.3,53
22/09/2103 16:00:00,27/09/2103 14:00:00,30.7,0.3,4.9,119,118,0.2,109
30/09/2103 16:00:00,04/10/2103 21:00:00,41,0.4,7.7,102,127,0.7,73
09/10/2103 09:00:00,12/10/2103,10.5,0.2,3.2,64,124,1.2,107
17/10/2103 06:00:00,21/10/2103 06:00:00,14.8,0.2,3,97,123,0.1,125
25/10/2103 19:00:00,02/11/2103 10:00:00,99.6,0.5,10.9,184,125,0.2,108
04/11/2103 19:00:00,10/11/2103 10:00:00,10.6,0.1,1.5,136,151,3.9,56
14/11/2103 06:00:00,16/11/2103 14:00:00,19.5,0.3,6.7,57,130,0.1,91
19/11/2103 13:00:00,23/11/2103 01:00:00,18.3,0.2,2.4,85,130,0.5,70
27/11/2103 15:00:00,28/11/2103 14:00:00,10.8,0.4,2.8,24,146,0.2,109
30/11/2103 13:00:00,30/11/2103 13:00:00,1.8,1.8,1.8,1,153,1.7,46
02/12/2103 15:00:00,08/12/2103 05:00:00,47.4,0.4,4.6,135,133,0.7,49
13/12/2103 22:00:00,25/12/2103 15:00:00,93.2,0.3,13.7,282,127,0.3,136
27/12/2103 05:00:00,30/12/2103 23:00:00,31.7,0.3,7.3,91,150,2,37
03/01/2104 12:00:00,09/01/2104 02:00:00,42.2,0.3,2.6,135,126,0.3,84
17/01/2104 07:00:00,18/01/2104 01:00:00,3.3,0.2,1.9,19,126,0,196
